locId,countryCode,subnational1,subnational2,latitude,longitude,name,lastVisit,speciesCount
L23137795,SG,SG-,,1.36404,103.772566,Dairy Farm Blue-eared Kingfisher Pond,2024-11-18 07:32,34
L3914189,SG,SG-,,1.3619833,103.7777245,Dairy Farm Nature Park,2025-01-13 07:30,215
L31238520,SG,SG-,,1.3621074,103.7701002,Dairy farm nature walk,2025-01-01 13:03,75
L6038551,SG,SG-,,1.3036336,103.8090836,Dempsey Hill,2025-01-12 09:43,80
L10956481,SG,SG-,,1.3555167,103.8046563,Dillenia Hut,2024-10-27 15:25,51
L16844924,SG,SG-,,1.3159607,103.7728721,Dover Forest-Ulu Pandan,2024-10-20 17:39,95
L11073920,SG,SG-,,1.3042743,103.7777998,Dover Road (former Transview Golf Course),2024-12-07 16:40,95
L13210969,SG,SG-,,1.2797579,103.8530088,Downtown 17 MRT Station / The Lawn @ Marina Bay,2024-12-28 13:00,21
L30614079,SG,SG-,,1.3227735,103.9620933,Dusit Thani Laguna,2024-11-06 06:55,27
L10806751,SG,SG-,,1.2804066,103.8412298,Duxton Plain Park,2024-12-25 15:00,54
L18098736,SG,SG-,,1.2945077,103.8917706,East Coast Park - CP B1 vicinity,2025-01-04 07:40,50
L6001999,SG,SG-,,1.3014917,103.9156008,East Coast Park - west,2025-01-02 07:45,134
L13142398,SG,SG-,,1.3095672,103.9429721,"East Coast Park--East (Bedok Jetty, car park E/F vicinity)",2024-12-25 13:55,53
L13093492,SG,SG-,,1.3131644,103.9582087,East Coast Park--east (car park G vicinity),2024-12-31 09:30,49
L13879214,SG,SG-,,1.2946439,103.8834669,East Coast Park: east at Fort Road,2025-01-09 22:43,66
L6273406,SG,SG-,,1.3219951,103.9564121,Eastwood Estate,2024-11-23 11:23,94
L1459794,SG,SG-,,1.3560268,103.7079616,Field North of Jurong West Street 22,2023-12-22 09:46,83
L922737,SG,SG-,,1.2940966,103.8465779,Fort Canning Park,2025-01-11 10:05,141
L27731154,SG,SG-,,1.2591636,103.8086128,Fort Siloso,2024-12-29 12:40,62
